AniId,RemLactation_LacNumber,CalculatedLactationCycle,LacCalvingDate,LacId,LacRemarks,LacColostrumDate,milk_production_start_date,milk_production_end_date,lactation_duration,total_milk_production,avg_daily_yield,early_lactation_yield,mid_lactation_yield,delta_early_mid_yield,mean_fat_percent,mean_protein_percent,dry_off_date,dry_off_interval,AniLifeNumber
936,1,1,2024-03-17 00:00:00.000,2273,NULL,2024-03-29 09:44:00.000,2024-03-17 00:00:00.000,2024-09-18 00:00:00.000,185,5510.485436,30.680000,622.038820,1875.242687,1253.203867,4.304216,3.440918,2024-09-18 00:00:00.000,NULL,FR 44042808560
938,1,1,2024-06-03 00:00:00.000,2317,,2024-06-10 14:29:00.000,2024-06-03 00:00:00.000,2024-09-06 00:00:00.000,95,4060.679611,44.026315,1140.873771,2832.135893,1691.262122,3.492608,3.175434,2024-09-06 00:00:00.000,NULL,FR 44042808561
940,1,1,2024-06-04 00:00:00.000,2318,NULL,2024-06-07 07:43:00.000,2024-06-05 00:00:00.000,2024-09-19 00:00:00.000,106,4049.902912,39.352830,926.990278,2408.058223,1481.067945,2.540280,2.924485,2024-09-19 00:00:00.000,NULL,FR 44042808562
943,1,1,2024-05-15 00:00:00.000,2313,NULL,2024-05-22 07:54:00.000,2024-05-15 00:00:00.000,2024-07-01 00:00:00.000,47,1459.417475,31.982978,793.786391,665.631058,-128.155333,4.309148,3.679361,2024-07-01 00:00:00.000,NULL,FR 44042808564
945,1,1,2024-08-03 00:00:00.000,2335,NULL,2024-08-10 11:39:00.000,2024-08-04 00:00:00.000,2024-09-12 00:00:00.000,39,1295.728155,34.220512,881.067946,414.660190,-466.407756,4.302000,3.635750,2024-09-12 00:00:00.000,NULL,FR 44042808565
948,1,1,2024-06-08 00:00:00.000,2319,NULL,2024-06-15 01:17:00.000,2024-06-08 00:00:00.000,2024-09-19 00:00:00.000,103,3583.203883,35.832038,821.165031,2295.825213,1474.660182,3.098653,3.114423,2024-09-19 00:00:00.000,NULL,FR 44042808566
950,1,1,2024-07-06 00:00:00.000,2326,NULL,2024-07-15 09:46:00.000,2024-07-08 00:00:00.000,2024-09-19 00:00:00.000,73,2062.815533,29.105479,660.291247,1402.524249,742.233002,3.799594,3.276351,2024-09-19 00:00:00.000,NULL,FR 44042808567
952,1,1,2024-05-13 00:00:00.000,2311,,2024-05-20 16:15:00.000,2024-05-14 00:00:00.000,2024-05-30 00:00:00.000,16,126.796116,8.162500,126.796110,0.000000,-126.796110,4.466250,3.568125,2024-05-30 00:00:00.000,NULL,FR 44042808568
954,1,1,2024-05-22 00:00:00.000,2314,NULL,2024-05-30 07:51:00.000,2024-05-23 00:00:00.000,2024-09-18 00:00:00.000,118,4030.485436,35.181355,812.427169,2163.009679,1350.582510,2.800252,3.060504,2024-09-18 00:00:00.000,NULL,FR 44042808569
956,1,1,2024-07-03 00:00:00.000,2322,NULL,2024-07-14 17:31:00.000,2024-07-04 00:00:00.000,2024-09-18 00:00:00.000,76,2582.330097,34.997368,832.718432,1749.611624,916.893192,4.069740,3.522727,2024-09-18 00:00:00.000,NULL,FR 44042808570
958,1,1,2024-07-07 00:00:00.000,2325,NULL,2024-07-15 09:45:00.000,2024-07-08 00:00:00.000,2024-09-12 00:00:00.000,66,1961.553398,30.612121,661.067947,1300.485418,639.417471,4.114029,3.711044,2024-09-12 00:00:00.000,NULL,FR 44042808571
960,1,1,2024-09-08 00:00:00.000,2366,NULL,2024-09-15 11:09:00.000,2024-09-08 00:00:00.000,2024-09-19 00:00:00.000,11,251.359223,23.536363,251.359218,0.000000,-251.359218,4.504166,3.898333,2024-09-19 00:00:00.000,NULL,FR 4404288572
966,1,1,2024-09-11 00:00:00.000,2369,NULL,2024-09-18 17:51:00.000,2024-09-11 00:00:00.000,2024-09-19 00:00:00.000,8,141.262135,18.187500,141.262131,0.000000,-141.262131,5.128888,4.170000,2024-09-19 00:00:00.000,NULL,FR 4404288578
968,1,1,2024-09-05 00:00:00.000,2359,NULL,2024-09-12 07:40:00.000,2024-09-05 00:00:00.000,2024-09-19 00:00:00.000,14,298.446601,21.957142,298.446595,0.000000,-298.446595,4.014666,3.640666,2024-09-19 00:00:00.000,NULL,FR 4404288580
3,7,2,2017-05-20 00:00:00.000,516,,2017-05-27 15:40:00.000,2017-05-20 00:00:00.000,2018-05-06 00:00:00.000,351,13202.038834,38.741025,506.504845,2313.689292,1807.184447,3.813180,3.311489,2018-05-06 00:00:00.000,49,FR 4404288019
3,8,3,2018-06-24 00:00:00.000,727,,2018-07-01 18:48:00.000,2018-06-24 00:00:00.000,2019-07-15 00:00:00.000,386,15036.990291,40.124611,1275.436878,3179.611620,1904.174742,3.752506,3.260930,2019-07-15 00:00:00.000,64,FR 4404288019
3,9,4,2019-09-17 00:00:00.000,959,"Ordonnance : 0200520154, du 26.05.2020",2019-09-22 18:32:00.000,2019-09-17 00:00:00.000,2020-06-23 00:00:00.000,280,10493.300970,38.600357,1018.446588,2859.223270,1840.776682,3.526785,3.213250,2020-06-23 00:00:00.000,NULL,FR 4404288019
4,7,2,2017-09-05 00:00:00.000,595,,2017-09-12 07:57:00.000,2017-09-06 00:00:00.000,2018-08-22 00:00:00.000,350,9269.126213,27.277714,848.446588,2075.048513,1226.601925,4.139316,3.474444,2018-08-22 00:00:00.000,56,FR 4404288028
4,8,3,2018-10-17 00:00:00.000,785,,2018-10-24 14:43:00.000,2018-10-17 00:00:00.000,2019-07-15 00:00:00.000,271,7077.281553,26.898892,1016.504841,2144.757255,1128.252414,4.310477,3.517279,2019-07-15 00:00:00.000,56,FR 4404288028
4,9,4,2019-09-08 00:00:00.000,955,"Orbenor : ArD et ArG
Maamiseai : les quatre",2019-09-15 11:38:00.000,2019-09-09 00:00:00.000,2020-01-23 00:00:00.000,136,2955.533980,22.383823,599.708727,1447.864049,848.155322,3.826788,3.625474,2020-01-23 00:00:00.000,NULL,FR 4404288028
5,5,1,2016-11-04 00:00:00.000,419,,2016-11-11 17:39:00.000,2016-11-04 00:00:00.000,2018-01-02 00:00:00.000,424,9725.825242,23.626415,862.232996,1225.145598,362.912602,5.965966,3.660259,2018-01-02 00:00:00.000,NULL,FR 4404288029
9,5,2,2017-01-10 00:00:00.000,474,,2017-01-15 20:04:00.000,2017-01-10 00:00:00.000,2017-10-11 00:00:00.000,274,8746.504854,32.879197,1201.456296,2567.669875,1366.213579,4.577963,3.216727,2017-10-11 00:00:00.000,91,FR 4404288050
9,6,3,2018-01-10 00:00:00.000,672,Mort,2018-01-14 10:03:00.000,2018-01-10 00:00:00.000,2018-03-21 00:00:00.000,70,3551.941747,52.264285,1338.834934,2213.106775,874.271841,4.048450,3.331690,2018-03-21 00:00:00.000,NULL,FR 4404288050
12,5,1,2016-11-21 00:00:00.000,435,,2016-11-28 10:22:00.000,2016-11-22 00:00:00.000,2018-01-02 00:00:00.000,406,12428.640776,31.530788,1259.805810,2705.242687,1445.436877,4.013685,3.306707,2018-01-02 00:00:00.000,NULL,FR 4404288068
